title,price,link,id,review
Palworld,$20.99,https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_2300_150_1,1623730,positive
Grand Theft Auto V Enhanced,$14.99,https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced/?snr=1_7_7_2300_150_1,3240220,positive
Funnel Runners,$13.49,https://store.steampowered.com/app/3712080/Funnel_Runners/?snr=1_7_7_2300_150_1,3712080,positive
The Mound: Omen of Cthulhu,$23.99,https://store.steampowered.com/app/2569760/The_Mound_Omen_of_Cthulhu/?snr=1_7_7_2300_150_1,2569760,mixed
"Warhammer 40,000: Space Marine 2",$17.99,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_2300_150_1,2183900,positive
Red Dead Redemption 2,$14.99,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_2300_150_1,1174180,positive
PowerWash Simulator 2,$18.74,https://store.steampowered.com/app/2968420/PowerWash_Simulator_2/?snr=1_7_7_2300_150_1,2968420,positive
NBA 2K26,$9.79,https://store.steampowered.com/app/3472040/NBA_2K26/?snr=1_7_7_2300_150_1,3472040,positive
"Warhammer 40,000: Darktide",$9.99,https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_2300_150_1,1361210,positive
ARK: Survival Ascended,$11.24,https://store.steampowered.com/app/2399830/ARK_Survival_Ascended/?snr=1_7_7_2300_150_1,2399830,mixed
The Outlast Trials,$11.99,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_2300_150_1,1304930,positive
Escape from Tarkov,$37.49,https://store.steampowered.com/app/3932890/Escape_from_Tarkov/?snr=1_7_7_2300_150_1,3932890,mixed
Euro Truck Simulator 2,$4.99,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_2300_150_1,227300,positive
Gamble With Your Friends,$4.95,https://store.steampowered.com/app/3892270/Gamble_With_Your_Friends/?snr=1_7_7_2300_150_1,3892270,positive
Cat Mail Co.,$12.25,https://store.steampowered.com/app/4380490/Cat_Mail_Co/?snr=1_7_7_2300_150_1,4380490,positive
Denshattack!,$17.99,https://store.steampowered.com/app/2524850/Denshattack/?snr=1_7_7_2300_150_1,2524850,positive
Ore Factory Squad ⛏️,$9.74,https://store.steampowered.com/app/4210580/Ore_Factory_Squad/?snr=1_7_7_2300_150_1,4210580,positive
Assassin’s Creed Shadows,$31.49,https://store.steampowered.com/app/3159330/Assassins_Creed_Shadows/?snr=1_7_7_2300_150_1,3159330,positive
DELTARUNE,$19.99,https://store.steampowered.com/app/1671210/DELTARUNE/?snr=1_7_7_2300_150_1,1671210,positive
Borderlands 4,$34.99,https://store.steampowered.com/app/1285190/Borderlands_4/?snr=1_7_7_2300_150_1,1285190,mixed
American Truck Simulator,$4.99,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_2300_150_1,270880,positive
Desktop Explorer,$16.19,https://store.steampowered.com/app/2527160/Desktop_Explorer/?snr=1_7_7_2300_150_1,2527160,positive
Leaf it Alone,$3.89,https://store.steampowered.com/app/3981100/Leaf_it_Alone/?snr=1_7_7_2300_150_1,3981100,positive
Phasmophobia,$13.99,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_2300_150_1,739630,positive
Burglin' Gnomes,$7.99,https://store.steampowered.com/app/3844970/Burglin_Gnomes/?snr=1_7_7_2300_150_1,3844970,positive
Pathogenic,$7.99,https://store.steampowered.com/app/3808690/Pathogenic/?snr=1_7_7_2300_150_1,3808690,positive
SILENT HILL 2,$27.99,https://store.steampowered.com/app/2124490/SILENT_HILL_2/?snr=1_7_7_2300_150_1,2124490,positive
Go-Go Town!,$20.99,https://store.steampowered.com/app/2195120/GoGo_Town/?snr=1_7_7_2300_150_1,2195120,positive
Satisfactory,$27.99,https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_2300_150_1,526870,positive
F1® 25,$39.99,https://store.steampowered.com/app/3059520/F1_25/?snr=1_7_7_2300_150_1,3059520,positive
The Incident at Galley House,$17.99,https://store.steampowered.com/app/3641000/The_Incident_at_Galley_House/?snr=1_7_7_2300_150_1,3641000,positive
Star Trek: Voyager - Across the Unknown,$24.49,https://store.steampowered.com/app/2643390/Star_Trek_Voyager__Across_the_Unknown/?snr=1_7_7_2300_150_1,2643390,positive
Valheim,$9.99,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_2300_150_1,892970,positive
The Mermaid Mask,$17.99,https://store.steampowered.com/app/1696770/The_Mermaid_Mask/?snr=1_7_7_2300_150_1,1696770,positive
No Man's Sky,$23.99,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_2300_150_1,275850,positive
Easy Red 2,$4.49,https://store.steampowered.com/app/1324780/Easy_Red_2/?snr=1_7_7_2300_150_1,1324780,positive
Angels Fall First,$16.19,https://store.steampowered.com/app/367270/Angels_Fall_First/?snr=1_7_7_2300_150_1,367270,positive
Content Warning,$3.99,https://store.steampowered.com/app/2881650/Content_Warning/?snr=1_7_7_2300_150_1,2881650,positive
Grand Theft Auto: San Andreas – The Definitive Edition,$19.79,https://store.steampowered.com/app/1547000/Grand_Theft_Auto_San_Andreas__The_Definitive_Edition/?snr=1_7_7_2300_150_1,1547000,positive
Fogpiercer,$14.99,https://store.steampowered.com/app/3219010/Fogpiercer/?snr=1_7_7_2300_150_1,3219010,positive
Database Detective: Minor Crimes Division,$12.74,https://store.steampowered.com/app/3950130/Database_Detective_Minor_Crimes_Division/?snr=1_7_7_2300_150_1,3950130,positive
FUMES,$8.99,https://store.steampowered.com/app/1920430/FUMES/?snr=1_7_7_2300_150_1,1920430,positive
DRAGON BALL XENOVERSE 2,$4.99,https://store.steampowered.com/app/454650/DRAGON_BALL_XENOVERSE_2/?snr=1_7_7_2300_150_1,454650,positive
Solarpunk™,$18.39,https://store.steampowered.com/app/1805110/Solarpunk/?snr=1_7_7_2300_150_1,1805110,positive
Subway Builder,$29.99,https://store.steampowered.com/app/4039140/Subway_Builder/?snr=1_7_7_2300_150_1,4039140,mixed
Sid Meier's Civilization VII,$49.99,https://store.steampowered.com/app/1295660/Sid_Meiers_Civilization_VII/?snr=1_7_7_2300_150_1,1295660,mixed
INAZUMA ELEVEN: Victory Road,$48.99,https://store.steampowered.com/app/2799860/INAZUMA_ELEVEN_Victory_Road/?snr=1_7_7_2300_150_1,2799860,positive
Welcome to the Game III,$17.99,https://store.steampowered.com/app/3869850/Welcome_to_the_Game_III/?snr=1_7_7_2300_150_1,3869850,positive
The Alters,$17.49,https://store.steampowered.com/app/1601570/The_Alters/?snr=1_7_7_2300_150_1,1601570,positive
SnowRunner,$11.99,https://store.steampowered.com/app/1465360/SnowRunner/?snr=1_7_7_2300_150_1,1465360,positive
S.T.A.L.K.E.R. 2: Heart of Chornobyl,$41.99,https://store.steampowered.com/app/1643320/STALKER_2_Heart_of_Chornobyl/?snr=1_7_7_2300_150_2,1643320,positive
Moss: The Forgotten Relic,$17.99,https://store.steampowered.com/app/3914860/Moss_The_Forgotten_Relic/?snr=1_7_7_2300_150_2,3914860,positive
FANTASY LIFE i: The Girl Who Steals Time,$41.99,https://store.steampowered.com/app/2993780/FANTASY_LIFE_i_The_Girl_Who_Steals_Time/?snr=1_7_7_2300_150_2,2993780,positive
SILENT HILL f,$34.99,https://store.steampowered.com/app/2947440/SILENT_HILL_f/?snr=1_7_7_2300_150_2,2947440,positive
METAL GEAR & METAL GEAR 2: Solid Snake,$9.99,https://store.steampowered.com/app/2131680/METAL_GEAR__METAL_GEAR_2_Solid_Snake/?snr=1_7_7_2300_150_2,2131680,positive
ARK: Survival Evolved,$9.89,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_2300_150_2,346110,positive
REMATCH,$19.99,https://store.steampowered.com/app/2138720/REMATCH/?snr=1_7_7_2300_150_2,2138720,positive
Grand Theft Auto IV: The Complete Edition,$5.99,https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV_The_Complete_Edition/?snr=1_7_7_2300_150_2,12210,positive
